BindingDB,Host,Guest,pH,Temp,SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumAtoms,Formal Charge,SlogP (#1),SMR (#1),LabuteASA (#1),TPSA (#1),AMW (#1),NumLipinskiHBA (#1),NumLipinskiHBD (#1),NumRotatableBonds (#1),NumAtoms (#1),delta_g0
3531_6,BDBM4,BDBM36122,6.9,25.0,1.6638999999999995,111.79780000000004,183.37997772301316,162.26000000000005,444.44000000000017,10.0,5.0,11.0,56.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-7.1
3540_36,BDBM4,BDBM36199,6.9,25.0,-0.020299999999999933,27.62439999999999,39.74888166902402,16.61,88.17399999999998,1.0,2.0,3.0,20.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-7.05
3529_8,BDBM4,BDBM36014,6.9,24.85,0.3017000000000001,48.71320000000003,73.23526751288745,36.84,166.24400000000003,2.0,3.0,3.0,28.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-7.02
6_10,BDBM4,BDBM8,6.9,25.0,0.2822000000000001,30.481599999999986,49.146597950675385,40.46,116.15999999999998,2.0,2.0,0.0,20.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-7.0
3531_5,BDBM4,BDBM36121,6.9,25.0,1.6638999999999995,111.79780000000004,183.37997772301316,162.26000000000005,444.44000000000017,10.0,5.0,11.0,56.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-7.0
3531_1,BDBM4,BDBM36119,6.9,25.0,1.2308,68.05630000000002,114.72243913791151,112.93,281.264,7.0,3.0,7.0,35.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-6.7
3529_1,BDBM4,BDBM36009,6.9,24.85,0.5563999999999998,49.19060000000004,77.5931843109823,49.69,182.21900000000005,3.0,2.0,5.0,27.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-6.66
3540_35,BDBM4,BDBM36198,6.9,25.0,0.02840000000000015,22.663100000000004,33.17396806803209,27.64,74.14699999999998,1.0,3.0,2.0,17.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-6.59
3529_23,BDBM4,BDBM36023,6.9,24.85,0.4709999999999997,37.901100000000014,55.501178045302886,27.64,122.19099999999996,1.0,3.0,2.0,21.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-6.4
3531_2,BDBM4,BDBM36120,6.9,25.0,1.2308,68.05630000000002,114.72243913791151,112.93,281.264,7.0,3.0,7.0,35.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-6.4
3540_26,BDBM4,BDBM50079401,6.9,25.0,-0.4636000000000002,19.915,36.78983322325915,40.13,87.09799999999998,2.0,0.0,2.0,13.0,-1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-6.3
3529_21,BDBM4,BDBM36022,6.9,24.85,-0.3324999999999998,40.82170000000002,65.08964554969491,68.10000000000001,154.189,3.0,5.0,2.0,23.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-6.22
3535_2,BDBM4,BDBM36147,7.2,25.0,0.6480000000000004,59.874400000000016,103.3703396713134,114.39999999999998,286.286,6.0,0.0,2.0,24.0,-2.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-5.61
3536_17,BDBM4,BDBM36154,6.9,25.0,0.3871000000000001,17.354800000000004,26.26336900881877,20.23,60.096,1.0,1.0,0.0,12.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-5.6
3529_27,BDBM4,BDBM36025,6.9,24.85,-1.1347000000000005,60.837200000000045,104.0192501201452,99.38,256.254,6.0,4.0,3.0,34.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-5.6
3529_35,BDBM4,BDBM50067723,6.9,24.85,0.1765999999999997,39.56590000000002,60.29541179749889,47.87000000000001,138.18999999999997,2.0,4.0,2.0,22.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-5.55
3531_3,BDBM4,BDBM50043820,6.9,25.0,0.5239999999999998,57.05130000000002,92.71748757956762,86.63,223.228,5.0,3.0,4.0,29.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-5.4
3529_7,BDBM4,BDBM36013,6.9,24.85,0.4881999999999997,51.00510000000003,78.45815273310986,46.10000000000001,182.243,3.0,3.0,4.0,29.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-5.1
3530_95,BDBM4,BDBM36118,6.9,25.0,-0.3450999999999997,28.865099999999995,44.65245541193558,36.87000000000001,104.17300000000002,2.0,3.0,4.0,21.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-5.0
3531_4,BDBM4,BDBM50043802,6.9,25.0,0.5239999999999998,57.05130000000002,92.71748757956762,86.63,223.228,5.0,3.0,4.0,29.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-4.8
